name,ground_truth,haplotype_threshold,source_haplotypes_1,groundtruth_haplotypes_1,intersection_haplotypes_1,union_haplotypes_1,exact_overlap_mass_1,weighted_jaccard_1,jensen_shannon_similarity_1,top100_spearman_1,source_haplotypes_2,groundtruth_haplotypes_2,intersection_haplotypes_2,union_haplotypes_2,exact_overlap_mass_2,weighted_jaccard_2,jensen_shannon_similarity_2,top100_spearman_2,source_haplotypes_3,groundtruth_haplotypes_3,intersection_haplotypes_3,union_haplotypes_3,exact_overlap_mass_3,weighted_jaccard_3,jensen_shannon_similarity_3,top100_spearman_3,source_haplotypes_4,groundtruth_haplotypes_4,intersection_haplotypes_4,union_haplotypes_4,exact_overlap_mass_4,weighted_jaccard_4,jensen_shannon_similarity_4,top100_spearman_4,source_haplotypes_5,groundtruth_haplotypes_5,intersection_haplotypes_5,union_haplotypes_5,exact_overlap_mass_5,weighted_jaccard_5,jensen_shannon_similarity_5,top100_spearman_5,source_haplotypes_6,groundtruth_haplotypes_6,intersection_haplotypes_6,union_haplotypes_6,exact_overlap_mass_6,weighted_jaccard_6,jensen_shannon_similarity_6,top100_spearman_6,source_haplotypes_7,groundtruth_haplotypes_7,intersection_haplotypes_7,union_haplotypes_7,exact_overlap_mass_7,weighted_jaccard_7,jensen_shannon_similarity_7,top100_spearman_7,source_haplotypes_8,groundtruth_haplotypes_8,intersection_haplotypes_8,union_haplotypes_8,exact_overlap_mass_8,weighted_jaccard_8,jensen_shannon_similarity_8,top100_spearman_8,source_haplotypes_9,groundtruth_haplotypes_9,intersection_haplotypes_9,union_haplotypes_9,exact_overlap_mass_9,weighted_jaccard_9,jensen_shannon_similarity_9,top100_spearman_9,source_haplotypes_10,groundtruth_haplotypes_10,intersection_haplotypes_10,union_haplotypes_10,exact_overlap_mass_10,weighted_jaccard_10,jensen_shannon_similarity_10,top100_spearman_10
Alpha,FALSE,1-2-3-4-5-6-7-8-9-10,117476,273284,74476,316284,0.4951110498,0.2404222109,0.6198766023,-0.2206480604,38126,107484,25217,120393,0.6021502121,0.2868611604,0.7417621616,-0.2206480604,17897,53134,12556,58475,0.6729914361,0.3162113271,0.8180165534,-0.2206480604,9829,30491,7165,33155,0.7174468732,0.3327610393,0.8651546017,-0.2206480604,6087,19331,4651,20767,0.7508528440,0.3410214976,0.8953152709,-0.2206480604,4146,13072,3345,13873,0.7750183809,0.3450673561,0.9156264799,-0.2206480604,3052,9309,2584,9777,0.7928361001,0.3468996529,0.9295896064,-0.2206480604,2418,6930,2129,7219,0.8065597721,0.3473033225,0.9391284256,-0.2206480604,2014,5290,1825,5479,0.8166478187,0.3471225086,0.9460165658,-0.2206480604,1774,4234,1650,4358,0.8241089159,0.3459106090,0.9505717281,-0.2206480604
AlphaQCL,FALSE,1-2-3-4-5-6-7-8-9-10,117315,273284,75649,314950,0.4693838379,0.2203845959,0.6084010950,-0.1942119744,38410,107484,26180,119714,0.5736798305,0.2594490298,0.7317188943,-0.1942119744,18213,53134,13125,58222,0.6431573438,0.2801967025,0.8081527667,-0.1942119744,10045,30491,7551,32985,0.6850738929,0.2878225531,0.8554362076,-0.1942119744,6159,19331,4836,20654,0.7177889241,0.2872492220,0.8856972386,-0.1942119744,4167,13072,3420,13819,0.7436682541,0.2839117153,0.9068513054,-0.1942119744,3073,9309,2607,9775,0.7636139189,0.2789063877,0.9216346900,-0.1942119744,2389,6930,2126,7193,0.7800071868,0.2729385744,0.9327953873,-0.1942119744,2014,5290,1841,5463,0.7932134152,0.2673408989,0.9409610281,-0.1942119744,1748,4234,1639,4343,0.8039886090,0.2618985117,0.9469739747,-0.1942119744
AlphaQCH,FALSE,1-2-3-4-5-6-7-8-9-10,118422,273284,76491,315215,0.4659537600,0.2217707270,0.6077437081,-0.2468479752,39648,107484,26933,120199,0.5686077999,0.2609518311,0.7296040584,-0.2468479752,18857,53134,13527,58464,0.6365025988,0.2814318744,0.8052227550,-0.2468479752,10538,30491,7844,33185,0.6764242312,0.2883572746,0.8512527256,-0.2468479752,6532,19331,5049,20814,0.7090166802,0.2874409537,0.8815392303,-0.2468479752,4396,13072,3539,13929,0.7352730310,0.2829247229,0.9026617509,-0.2468479752,3207,9309,2696,9820,0.7565843983,0.2767641906,0.9180588486,-0.2468479752,2509,6930,2205,7234,0.7734165762,0.2703637079,0.9293412574,-0.2468479752,2048,5290,1870,5468,0.7882835943,0.2638793111,0.9384085469,-0.2468479752,1772,4234,1668,4338,0.8005882802,0.2573415559,0.9451232036,-0.2468479752
Beta,FALSE,1-2-3-4-5-6-7-8-9-10,88668,273284,58620,303332,0.4382259102,0.1653464151,0.5713541931,-0.2313469238,24864,107484,17838,114510,0.5480140291,0.1925722443,0.7002741480,-0.2313469238,10620,53134,8168,55586,0.6288916775,0.2062912019,0.7832755204,-0.2313469238,5571,30491,4561,31501,0.6830381770,0.2122168053,0.8373002036,-0.2313469238,3431,19331,2999,19763,0.7186431058,0.2129687358,0.8731117293,-0.2313469238,2420,13072,2211,13281,0.7443460106,0.2119934582,0.8979697071,-0.2313469238,1910,9309,1799,9420,0.7637205465,0.2104268855,0.9147766505,-0.2313469238,1634,6930,1583,6981,0.7789967951,0.2085310748,0.9269073765,-0.2313469238,1476,5290,1439,5327,0.7902448916,0.2067149017,0.9353542471,-0.2313469238,1355,4234,1334,4255,0.7986385557,0.2044497304,0.9410848558,-0.2313469238
BetaQCL,FALSE,1-2-3-4-5-6-7-8-9-10,63831,273284,43583,293532,0.3924171496,0.1115085645,0.5255559225,-0.2471707088,14687,107484,11335,110836,0.5031453877,0.1272976434,0.6603625603,-0.2471707088,5559,53134,4682,54011,0.5892015058,0.1342516214,0.7492973777,-0.2471707088,2886,30491,2628,30749,0.6515405654,0.1371100595,0.8095280352,-0.2471707088,1930,19331,1847,19414,0.6944768330,0.1379697529,0.8498777117,-0.2471707088,1540,13072,1505,13107,0.7246237853,0.1373423928,0.8779988018,-0.2471707088,1339,9309,1317,9331,0.7460790790,0.1366067624,0.8984883397,-0.2471707088,1202,6930,1192,6940,0.7614803376,0.1354503976,0.9135627711,-0.2471707088,1112,5290,1108,5294,0.7730766910,0.1343712842,0.9243935326,-0.2471707088,1038,4234,1036,4236,0.7816544896,0.1330084095,0.9313854055,-0.2471707088
BetaQCH,FALSE,1-2-3-4-5-6-7-8-9-10,69342,273284,47081,295545,0.4028370641,0.1237618487,0.5356356280,-0.3100843884,17041,107484,12885,111640,0.5123913986,0.1418691940,0.6677780018,-0.3100843884,6720,53134,5502,54352,0.5969384114,0.1503586284,0.7546710369,-0.3100843884,3436,30491,3038,30889,0.6576393839,0.1537205152,0.8133834613,-0.3100843884,2236,19331,2075,19492,0.6984952597,0.1545136702,0.8521956604,-0.3100843884,1693,13072,1635,13130,0.7280672183,0.1536423146,0.8802181711,-0.3100843884,1462,9309,1436,9335,0.7483488911,0.1524191708,0.8998784484,-0.3100843884,1314,6930,1301,6943,0.7620387247,0.1513999253,0.9131211048,-0.3100843884,1218,5290,1213,5295,0.7736031857,0.1497304397,0.9229257724,-0.3100843884,1137,4234,1133,4238,0.7826632905,0.1480316300,0.9298769442,-0.3100843884
Gamma,FALSE,1-2-3-4-5-6-7-8-9-10,94634,273284,62274,305644,0.4427067457,0.1751955319,0.5777586843,-0.2398078429,27570,107484,19554,115500,0.5514915850,0.2043657817,0.7055479054,-0.2398078429,12186,53134,9208,56112,0.6298046728,0.2188031976,0.7867197239,-0.2398078429,6387,30491,5144,31734,0.6824774554,0.2242053124,0.8400864845,-0.2398078429,3955,19331,3378,19908,0.7168195679,0.2241890946,0.8750251211,-0.2398078429,2701,13072,2408,13365,0.7429082690,0.2220958107,0.8990985268,-0.2398078429,2092,9309,1948,9453,0.7636538883,0.2191256644,0.9162506788,-0.2398078429,1740,6930,1657,7013,0.7786048392,0.2160903151,0.9275747757,-0.2398078429,1564,5290,1508,5346,0.7905885289,0.2131261963,0.9362962685,-0.2398078429,1422,4234,1385,4271,0.7991384655,0.2099679261,0.9419897861,-0.2398078429
GammaQCL,FALSE,1-2-3-4-5-6-7-8-9-10,86538,273284,57092,302730,0.4480280255,0.1694786483,0.5772689380,-0.2622400585,23818,107484,17187,114115,0.5589086683,0.1988981133,0.7065813575,-0.2622400585,10033,53134,7808,55359,0.6408678495,0.2154017041,0.7895157698,-0.2622400585,5253,30491,4348,31396,0.6944070048,0.2241342059,0.8426228400,-0.2622400585,3302,19331,2907,19726,0.7281303913,0.2280298589,0.8777170677,-0.2622400585,2355,13072,2170,13257,0.7525663299,0.2293578302,0.9011575927,-0.2622400585,1896,9309,1798,9407,0.7710912985,0.2300984358,0.9174458949,-0.2622400585,1618,6930,1561,6987,0.7847707926,0.2303858351,0.9289116711,-0.2622400585,1464,5290,1428,5326,0.7944301450,0.2302373829,0.9369927656,-0.2622400585,1369,4234,1347,4256,0.8009523823,0.2292769511,0.9418571561,-0.2622400585
GammaQCH,FALSE,1-2-3-4-5-6-7-8-9-10,92624,273284,61640,304268,0.4380850563,0.1695616489,0.5755233854,-0.3671396387,26876,107484,19391,114969,0.5471216678,0.1971472538,0.7042764210,-0.3671396387,11635,53134,8991,55778,0.6266139617,0.2097289076,0.7864831533,-0.3671396387,6058,30491,4965,31584,0.6797803956,0.2136719730,0.8395196452,-0.3671396387,3695,19331,3198,19828,0.7156260807,0.2127010451,0.8750706678,-0.3671396387,2604,13072,2360,13316,0.7418779046,0.2097240610,0.8994253743,-0.3671396387,2023,9309,1903,9429,0.7623692286,0.2063003891,0.9163453703,-0.3671396387,1709,6930,1643,6996,0.7781514745,0.2028686448,0.9281793476,-0.3671396387,1503,5290,1459,5334,0.7904090958,0.1990950032,0.9365058034,-0.3671396387,1367,4234,1346,4255,0.8001328562,0.1955468121,0.9429770934,-0.3671396387
sup,FALSE,1-2-3-4-5-6-7-8-9-10,46573,273284,33534,286323,0.2971397978,0.0698886217,0.4485993670,-0.1071385965,9487,107484,7709,109262,0.3913052466,0.0769968995,0.5760811687,-0.1071385965,3335,53134,2983,53486,0.4670779084,0.0782615365,0.6648177737,-0.1071385965,1692,30491,1620,30563,0.5254677435,0.0770249973,0.7272804542,-0.1071385965,1076,19331,1056,19351,0.5708970410,0.0741210910,0.7720248301,-0.1071385965,732,13072,728,13076,0.6081018008,0.0710209747,0.8067246539,-0.1071385965,553,9309,552,9310,0.6384831725,0.0681499810,0.8337665358,-0.1071385965,395,6930,395,6930,0.6633544990,0.0653877418,0.8548934640,-0.1071385965,272,5290,272,5290,0.6849096117,0.0626051863,0.8723121909,-0.1071385965,171,4234,171,4234,0.7022185410,0.0603269238,0.8858235136,-0.1071385965
UDP0057.fq,TRUE,1-2-3-4-5-6-7-8-9-10,273284,273284,273284,273284,1.0000000000,1.0000000000,1.0000000000,1.0000000000,107484,107484,107484,107484,1.0000000000,1.0000000000,1.0000000000,1.0000000000,53134,53134,53134,53134,1.0000000000,1.0000000000,1.0000000000,1.0000000000,30491,30491,30491,30491,1.0000000000,1.0000000000,1.0000000000,1.0000000000,19331,19331,19331,19331,1.0000000000,1.0000000000,1.0000000000,1.0000000000,13072,13072,13072,13072,1.0000000000,1.0000000000,1.0000000000,1.0000000000,9309,9309,9309,9309,1.0000000000,1.0000000000,1.0000000000,1.0000000000,6930,6930,6930,6930,1.0000000000,1.0000000000,1.0000000000,1.0000000000,5290,5290,5290,5290,1.0000000000,1.0000000000,1.0000000000,1.0000000000,4234,4234,4234,4234,1.0000000000,1.0000000000,1.0000000000,1.0000000000
